Dimensione,BubbleSort,InsertionSort,SelectionSort,StdSort
4,4.66e-07,2.73e-07,3.74e-07,8.63e-07
8,7.55e-07,4.62e-07,6.32e-07,8.22e-07
16,2.401e-06,1.289e-06,2.006e-06,1.858e-06
32,7.06e-06,3.034e-06,5.893e-06,3.997e-06
64,2.8577e-05,1.1612e-05,1.72e-05,8.706e-06
128,0.000114211,3.9524e-05,5.8322e-05,1.9396e-05
256,0.000514024,0.00017205,0.000300521,5.3074e-05
512,0.0018938,0.000586353,0.000942671,0.000135798
1024,0.00811779,0.0024367,0.00326654,0.000154483
2048,0.0264612,0.00828743,0.0111778,0.000519112
4096,0.0885453,0.0291303,0.0368639,0.000658712
8192,0.347568,0.111603,0.149726,0.00160901
